dbpedia_9262,holiday saint saint saint saint saint saint saint saint saint
dbpedia_16225,settlement town settlement place town town settlement settlement town administrativeregion
dbpedia_20481,river river river river river river river river river river
dbpedia_17418,rugbyplayer rugbyplayer rugbyplayer rugbyplayer rugbyplayer rugbyclub rugbyplayer rugbyplayer rugbyplayer rugbyplayer
dbpedia_1924,magazine company company book website company company company company newspaper
dbpedia_20658,lighthouse settlement animal settlement animal city settlement fish ship sportsevent
dbpedia_21613,settlement road road building park historicplace road city settlement shoppingmall
dbpedia_4522,saint noble royalty pope noble royalty saint rugbyplayer monarch royalty
dbpedia_17379,organisation settlement programminglanguage country country country university settlement song building
dbpedia_16220,single single film settlement film televisionshow album settlement single person
dbpedia_13810,supremecourtoftheunitedstatescase governmentagency supremecourtoftheunitedstatescase supremecourtoftheunitedstatescase motorcycle railwayline supremecourtoftheunitedstatescase governmentagency politicalparty city
dbpedia_18815,ethnicgroup supremecourtoftheunitedstatescase ethnicgroup ethnicgroup supremecourtoftheunitedstatescase holiday supremecourtoftheunitedstatescase holiday person olympicresult
dbpedia_10265,disease disease disease disease disease disease disease disease disease disease
dbpedia_18247,school school university school school university school school school university
dbpedia_9722,person fictionalcharacter officeholder writer person officeholder judge architect person film
dbpedia_7302,university company university school university person university architect university university
dbpedia_17329,televisionshow person organisation officeholder militaryperson militaryconflict militaryconflict militaryperson militaryperson militaryconflict
dbpedia_15318,worldheritagesite country language book book book country museum country book
dbpedia_20049,militaryunit militaryperson militaryunit militaryunit militaryconflict officeholder militaryunit militaryconflict militaryunit militaryunit
dbpedia_21078,royalty film film settlement book memberofparliament historicplace film person settlement
dbpedia_13992,book musicalartist musicalartist band band band band musicalartist musicalartist musicalartist
dbpedia_13429,soccerplayer person person person person soapcharacter person person televisionseason televisionshow
dbpedia_19161,artistdiscography book song book person song film country album book
dbpedia_9736,politician officeholder person congressman officeholder officeholder person officeholder gridironfootballplayer officeholder
dbpedia_12011,soccerclub rugbyclub soccerclub soccerclub soccerplayer sportsleague televisionshow soccerleague soccerclub venue
dbpedia_21188,broadcastnetwork broadcastnetwork broadcastnetwork televisionstation televisionstation televisionstation broadcastnetwork company televisionstation company
dbpedia_8519,country country settlement country administrativeregion country officeholder country country ethnicgroup
dbpedia_14927,person fictionalcharacter film film televisionshow person screenwriter actor film person
dbpedia_314,award year award militaryperson militaryperson award organisation award militaryperson officeholder
dbpedia_9297,noble soccerplayer noble noble noble person musicalartist person saint royalty
dbpedia_14594,book book book book book book book game book comic
dbpedia_22957,officeholder officeholder officeholder officeholder officeholder officeholder officeholder memberofparliament officeholder judge
dbpedia_5316,olympicevent sport stadium olympicevent olympicevent olympicevent olympicevent olympicevent olympicevent athlete
dbpedia_6570,planet planet planet planet planet planet planet planet planet planet
dbpedia_11205,person writer book book book person book book song person
dbpedia_4293,officeholder company person organisation non profitorganisation officeholder person officeholder person economist
dbpedia_2699,person militaryperson officeholder person person person scientist person person royalty
dbpedia_12050,song song single album song single musicalwork single single single
dbpedia_20417,settlement road building road road settlement road road road settlement
dbpedia_22782,scientist company software company software company videogame organisation software software
dbpedia_2392,magazine televisionshow supremecourtoftheunitedstatescase drug supremecourtoftheunitedstatescase supremecourtoftheunitedstatescase book book person band
dbpedia_14790,historicbuilding historicbuilding historicbuilding saint historicbuilding religiousbuilding saint historicbuilding diocese saint
dbpedia_22611,televisionshow film televisionshow televisionshow film person person person film person
dbpedia_4459,book book film play televisionshow book soapcharacter film book televisionshow
dbpedia_21142,officeholder officeholder politician officeholder officeholder officeholder politician politician officeholder politician
dbpedia_19907,book band song album book song album album musicalartist musicalartist
dbpedia_16466,militaryperson royalty militaryperson militaryconflict militaryperson royalty monarch militaryconflict royalty militaryperson
dbpedia_19706,newspaper building settlement building supremecourtoftheunitedstatescase officeholder company person company company
dbpedia_15509,person writtenwork writer book film book comic book book book
dbpedia_19932,building school televisionshow school building writer televisionshow officeholder writer mayor
dbpedia_7958,book writer book book writer book award book writer person
dbpedia_14861,reptile bird bird bird insect insect bird insect bird plant
dbpedia_19181,pope saint pope pope saint pope pope pope pope pope
dbpedia_10914,criminal scientist fashiondesigner person writer memberofparliament officeholder officeholder person athlete
dbpedia_14317,settlement river settlement river river river reptile settlement mammal reptile
dbpedia_12295,person person person person person musicalartist person album person person
dbpedia_414,company university university university station roadjunction station station station railwayline
dbpedia_15183,book magazine academicjournal academicjournal academicjournal academicjournal academicjournal academicjournal academicjournal academicjournal
dbpedia_14056,city historicplace building building administrativeregion administrativeregion building historicplace administrativeregion town
dbpedia_10332,company company company company company company company company company company
dbpedia_19448,language language language language language language language writer language language
dbpedia_18948,radiostation televisionstation televisionstation televisionstation televisionstation televisionstation televisionstation radiostation radiostation televisionstation
dbpedia_18673,businessperson company person person company person company company person person
dbpedia_4177,historicplace historicplace historicplace building historicplace historicplace historicplace building historicplace building
dbpedia_13296,film film film film film film film film film film
dbpedia_790,hockeyteam convention icehockeyleague hockeyteam sport icehockeyleague icehockeyleague icehockeyleague hockeyteam sport
dbpedia_3738,lake lake lake lake lake lake village lake lake lake
dbpedia_21374,officeholder officeholder officeholder officeholder officeholder officeholder officeholder officeholder officeholder officeholder
dbpedia_23073,cave cave settlement cave cave mammal non profitorganisation ethnicgroup cave crustacean
dbpedia_14647,galaxy galaxy galaxy galaxy single galaxy galaxy galaxy galaxy galaxy
dbpedia_6040,chemicalcompound chemicalcompound chemicalcompound mineral chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound
dbpedia_20253,person person play televisionshow person company venue person company person
dbpedia_3843,officeholder militaryperson militaryperson collegecoach person politician person officeholder christianbishop officeholder
dbpedia_7397,aircraft company aircraft aircraft aircraft aircraft aircraft aircraft company aircraft
dbpedia_20926,ncaateamseason ncaateamseason ncaateamseason collegecoach ncaateamseason ncaateamseason ncaateamseason ncaateamseason ncaateamseason ncaateamseason
dbpedia_10758,settlement settlement city administrativeregion settlement administrativeregion administrativeregion settlement settlement settlement
dbpedia_17182,person person scientist person architect person person museum person person
dbpedia_9408,drug drug drug drug drug drug drug drug drug drug
dbpedia_16270,noble noble person artwork artwork noble artwork noble person artist
dbpedia_12971,insect fungus animal fungus fungus fungus ginkgo fungus fungus fungus
dbpedia_12975,book book book book book book book writtenwork book book
dbpedia_11818,chemicalcompound food bacteria chemicalcompound supremecourtoftheunitedstatescase drug plant animal chemicalcompound chemicalcompound
dbpedia_12677,officeholder militaryperson militaryperson collegecoach person politician person officeholder christianbishop officeholder
dbpedia_17891,drug disease drug drug disease drug drug drug drug drug
dbpedia_4409,book person book film person criminal fictionalcharacter criminal criminal criminal
dbpedia_6848,award film award film televisionshow musicalartist award film writer person
dbpedia_13273,artwork person book artwork historicplace fictionalcharacter comicscharacter book book artwork
dbpedia_11234,philosopher person person philosopher scientist person philosopher scientist scientist person
dbpedia_14649,book artwork book musicalartist book royalty baronet televisionshow book writer
dbpedia_19693,person engineer judge scientist scientist writer scientist person officeholder person
dbpedia_3388,administrativeregion administrativeregion country country town settlement country town settlement administrativeregion
dbpedia_11013,person comicscreator televisionshow book book philosopher person person musicalartist person
dbpedia_5209,organisation organisation person scientist company scientist university organisation person university
dbpedia_14707,person businessperson person person person criminal person person person person
dbpedia_15992,settlement settlement settlement administrativeregion administrativeregion settlement settlement settlement settlement village
dbpedia_23333,weapon televisionseason televisionseason saint saint militaryconflict building album icehockeyplayer videogame
dbpedia_20105,criminal presenter criminal criminal band film hollywoodcartoon criminal film criminal
dbpedia_13221,person person politician musicalartist televisionshow royalty noble person musicalartist film
dbpedia_11761,currency currency currency currency currency currency currency currency currency currency
dbpedia_15360,scientist scientist scientist scientist scientist scientist scientist company scientist biologicaldatabase
dbpedia_15044,supremecourtoftheunitedstatescase supremecourtoftheunitedstatescase supremecourtoftheunitedstatescase organisation supremecourtoftheunitedstatescase supremecourtoftheunitedstatescase supremecourtoftheunitedstatescase supremecourtoftheunitedstatescase supremecourtoftheunitedstatescase supremecourtoftheunitedstatescase
dbpedia_10759,fish bird bird plant plant mammal plant plant bird plant
dbpedia_1011,ethnicgroup company company city filmfestival settlement settlement village university venue
dbpedia_9094,person person person person person film person film musicalartist play
dbpedia_5612,classicalmusiccomposition book organisation book magazine book saint magazine website single
dbpedia_9615,supremecourtoftheunitedstatescase book school fictionalcharacter film supremecourtoftheunitedstatescase supremecourtoftheunitedstatescase saint supremecourtoftheunitedstatescase person
dbpedia_8196,language person person book university book language person writer writer
dbpedia_5151,fictionalcharacter comicscharacter book governmentagency film governmentagency book song film televisionshow
dbpedia_13321,book book book comedian person writer book writer book book
dbpedia_11422,person person person givenname book person person president supremecourtoftheunitedstatescase book
dbpedia_22233,school school school school school school school school school school
dbpedia_8179,company architect person stadium architect roadjunction bridge building architect architect
dbpedia_21937,formulaoneteam motorcyclerider motorcyclerider motorsportseason grandprix motorcyclerider racingdriver motorcyclerider motorcyclerider motorcyclerider
dbpedia_16439,band musicalartist band band musicalartist musicalartist band band musicalartist band
dbpedia_19800,televisionshow televisionshow televisionshow televisionshow televisionshow televisionshow televisionshow televisionshow televisionshow televisionshow
dbpedia_10232,book book book book book book book book book televisionshow
dbpedia_13531,book settlement recordlabel software food software village programminglanguage album givenname
dbpedia_3210,person royalty royalty royalty noble noble noble royalty noble royalty
dbpedia_2979,disease disease species anatomicalstructure disease disease scientist disease disease protein
dbpedia_16324,river settlement river bodyofwater river siteofspecialscientificinterest river siteofspecialscientificinterest river river
dbpedia_132,mythologicalfigure philosopher comicscharacter person person book school philosopher magazine language
dbpedia_6566,ethnicgroup politicalparty organisation ethnicgroup language ethnicgroup ethnicgroup militaryconflict language historicplace
dbpedia_17256,film film film manga film film person person film film
dbpedia_12884,royalty monarch royalty officeholder primeminister royalty officeholder person noble royalty
dbpedia_16771,song single book song album single single writer book writer
dbpedia_13979,artist film comicscharacter artist artist novel artist artist album film
dbpedia_8866,award film fictionalcharacter person person film person film person film
dbpedia_21238,bodyofwater company company company settlement airline city settlement building building
dbpedia_19947,writer person writer person person writer person writer person book
dbpedia_16666,award film award award person award person film person film
dbpedia_13229,software software software software company software software person software software
dbpedia_20812,televisionshow televisionshow televisionshow televisionshow televisionshow person radioprogram televisionshow televisionshow televisionshow
dbpedia_21198,lake organisation river disease lake insect dam species lake insect
dbpedia_6839,film film film screenwriter album person person writer person person
dbpedia_22487,company company company musicalartist company company company publisher company company
dbpedia_4416,book writtenwork book writtenwork writtenwork book writtenwork book book writtenwork
dbpedia_20342,band musicalartist musicalartist musicalartist album musicalartist musicalartist album musicalartist musicalartist
dbpedia_20727,person musicalartist film musicalartist band writer televisionshow musicalartist band philosopher
dbpedia_3742,musicgenre person scientist university magazine organisation organisation artist person book
dbpedia_12352,chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound chemicalcompound mineral chemicalcompound
dbpedia_1456,person painter person cleric scientist christianbishop person scientist writer cleric
dbpedia_10325,album album film album eurovisionsongcontestentry album film album album song
dbpedia_9747,animal currency ethnicgroup disease insect animal company insect website fashion
dbpedia_4229,organisation organisation organisation organisation organisation organisation organisation organisation organisation olympics
dbpedia_5946,figureskater royalty figureskater figureskater model figureskater musicalartist figureskater person athlete
dbpedia_1671,artwork book book book manga book play album song film
dbpedia_12351,film person person person person criminal book televisionshow artwork person
dbpedia_14,person company weapon chemicalcompound company company drug game drug supremecourtoftheunitedstatescase
dbpedia_21745,person comicscreator person writer comicscreator comicscreator musicalartist writer person person
dbpedia_5682,book book book book book book book book book televisionshow
dbpedia_13239,scientist scientist scientist person university scientist scientist fungus academicjournal person
dbpedia_5592,film song musicalartist album musicalwork song song album album single
dbpedia_9096,actor film film person film film musicalartist film company person
dbpedia_18108,televisionepisode televisionseason televisionepisode televisionseason televisionshow televisionshow televisionshow televisionseason videogame televisionshow
dbpedia_13197,person person film astronaut astronaut astronaut book book governmentagency astronaut
dbpedia_3822,televisionseason televisionshow olympicevent person cricketer sport person cricketer cricketer album
dbpedia_20350,company company aircraft person aircraft rocket company person aircraft aircraft
dbpedia_3347,band band band band band band band band band band
dbpedia_2505,person organisation book person book book radioprogram book person musicalartist
dbpedia_14185,royalty militaryperson royalty country royalty militaryconflict militaryperson officeholder primeminister film
dbpedia_14087,bird bird mammal bird bird bird insect bird reptile mammal
dbpedia_7569,album single single album single single band writer film album
dbpedia_15389,militaryperson film officeholder militaryperson militaryperson soccerplayer album soccerplayer militaryperson baseballplayer
dbpedia_21497,memberofparliament officeholder memberofparliament officeholder memberofparliament politician legislature officeholder memberofparliament politicalparty
dbpedia_10243,country ethnicgroup country country ethnicgroup sportsevent militaryconflict militaryconflict country university
dbpedia_8058,person film film musical film film musicalartist person film hollywoodcartoon
dbpedia_5389,writer person philosopher writer person person person writer writer writer
dbpedia_12044,religious fictionalcharacter televisionshow band book book person band fictionalcharacter historicbuilding
dbpedia_2093,televisionshow televisionshow anime videogame videogame manga videogame videogame videogame videogame
dbpedia_12244,historicbuilding religiousbuilding historicbuilding building building building historicplace historicbuilding historicbuilding building
dbpedia_22546,person actor person person person person person person person person
dbpedia_17295,garden garden garden garden garden building park garden garden garden
dbpedia_13393,album single single writer book book single single televisionshow film
dbpedia_1211,royalty monarch noble person monarch royalty mythologicalfigure person mythologicalfigure royalty
dbpedia_8082,programminglanguage programminglanguage language programminglanguage language language language governmentagency disease programminglanguage
dbpedia_23101,person person person book politician person person person person musicalartist
dbpedia_6954,tradeunion footballleagueseason organisation footballleagueseason soccerleague footballleagueseason soccerleague organisation rugbyclub rugbyclub
dbpedia_22640,artist film film televisionshow film song film person artist televisionshow
dbpedia_13998,single single film settlement film settlement album televisionshow single mountain
dbpedia_10615,building bridge building building bridge building bridge historicplace company historicplace
dbpedia_22095,militaryconflict building artist criminal painter religiousbuilding painter painter officeholder religiousbuilding
dbpedia_14342,book film band film writer writtenwork song book fictionalcharacter constellation
dbpedia_13907,play televisionshow book album single televisionshow album eurovisionsongcontestentry book album
dbpedia_15650,person film film person film film film film play film
dbpedia_7236,supremecourtoftheunitedstatescase supremecourtoftheunitedstatescase ethnicgroup ethnicgroup ethnicgroup supremecourtoftheunitedstatescase ethnicgroup person supremecourtoftheunitedstatescase person
dbpedia_7319,school play song artwork person musicfestival chef artwork person artwork
dbpedia_11153,officeholder militaryconflict person royalty organisation country royalty royalty town settlement
dbpedia_10784,film saint painter book painter film painter person painter painter
dbpedia_18235,book artist book book comicscreator artist artist artist writer artist
dbpedia_19296,protectedarea mountainrange protectedarea mountainrange protectedarea mountain settlement mountain protectedarea mountain
dbpedia_5911,company company company company company company publictransitsystem company company company
dbpedia_1081,city settlement settlement building settlement city city settlement city settlement
dbpedia_9625,gymnast gymnast restaurant televisionshow website gymnast magazine gymnast person museum
dbpedia_14981,company building settlement theatre televisionstation cave televisionstation building company historicplace
dbpedia_6289,person book film film writer film screenwriter book writer person
dbpedia_22180,politicalparty person politicalparty politicalparty politicalparty officeholder officeholder monarch officeholder officeholder
dbpedia_20031,river river river settlement river river river administrativeregion river settlement
dbpedia_12799,company airline airline airline company airline airline airline airline airline
dbpedia_18335,officeholder book award mayor officeholder person officeholder officeholder politician officeholder
dbpedia_8961,organisation organisation organisation organisation organisation organisation settlement bank organisation organisation
dbpedia_6435,book song writer album fictionalcharacter fictionalcharacter film writer televisionshow film
dbpedia_18635,racecourse river road settlement administrativeregion river administrativeregion settlement town road
dbpedia_10519,saint historicbuilding saint saint saint saint saint saint artwork saint
dbpedia_21334,company company company company company automobile automobile company automobile company
dbpedia_4179,pope pope pope cardinal christianbishop historicbuilding christianbishop pope settlement holiday
dbpedia_16759,comicscreator comicscreator person organisation person musicalartist person person journalist person
dbpedia_21482,comedian play writer film televisionepisode fictionalcharacter band film musicalartist person
dbpedia_16317,televisionshow televisionshow televisionshow person televisionshow beautyqueen beautyqueen person televisionshow musicalartist
dbpedia_22293,film film film film person film film film film film
dbpedia_5146,award award organisation person award award award person award award
dbpedia_22612,city film film building ship person film person film person
dbpedia_20825,book writer person person publisher person writer writer writer writer
dbpedia_20373,person book museum writer person officeholder officeholder saint comedian writer
dbpedia_12294,game politicalparty company fictionalcharacter book book single book year governmentagency
dbpedia_10148,administrativeregion settlement settlement administrativeregion settlement settlement settlement settlement settlement settlement
dbpedia_6870,settlement star chemicalcompound chemicalcompound mineral village mountain chemicalcompound planet star
dbpedia_23067,officeholder politician officeholder officeholder officeholder election officeholder officeholder officeholder governmentagency
dbpedia_8062,artwork person film artwork artist person museum food artwork play
dbpedia_22593,organisation organisation organisation politicalparty politicalparty politicalparty person newspaper politicalparty politicalparty
dbpedia_23351,website book organisation book person website book person company website
dbpedia_7753,tradeunion tradeunion royalty person politician officeholder person person person politician
dbpedia_13498,militaryperson person book book scientist scientist scientist militaryperson person fictionalcharacter
dbpedia_7896,mammal reptile fungus bird bird star mammal scientist insect fish
dbpedia_9791,book artist book book person person philosopher writer politician writer
dbpedia_2137,musicalartist person school person person person cleric school person person
dbpedia_13830,videogame televisionshow film film amusementparkattraction videogame videogame televisionshow televisionshow videogame
dbpedia_12141,royalty royalty royalty royalty noble noble noble person royalty royalty
dbpedia_3366,legislature settlement settlement legislature legislature settlement settlement settlement settlement settlement
dbpedia_12117,soccerplayer rugbyleague soccerplayer soccerplayer soccerplayer soccerplayer footballmatch soccerplayer cricketer cricketer
dbpedia_1860,writer officeholder officeholder officeholder politician gridironfootballplayer person officeholder collegecoach officeholder
dbpedia_21395,officeholder film book film officeholder tennisplayer writer film film writer
dbpedia_6079,administrativeregion town settlement country settlement officeholder memberofparliament town town soccerleague
dbpedia_19506,wrestler person person person athlete soccerplayer collegecoach cyclist soccermanager gaelicgamesplayer
dbpedia_16823,writer person writer scientist writer person book writer writer person
dbpedia_11874,book building ethnicgroup ethnicgroup organisation ethnicgroup book book book ethnicgroup
dbpedia_13715,historicplace museum historicplace building building historicplace historicplace building building building
dbpedia_19584,basketballplayer basketballplayer basketballplayer ncaateamseason basketballplayer basketballplayer basketballplayer basketballplayer basketballplayer basketballplayer
dbpedia_8886,televisionseason holiday year year year year militaryconflict year aircraft year
dbpedia_19312,comicscreator person judge person newspaper museum person play book person
dbpedia_7786,officeholder person scientist writer judge officeholder officeholder person officeholder historicplace
dbpedia_18499,formulaoneracer formulaoneteam formulaoneteam formulaoneteam formulaoneteam formulaoneteam formulaoneteam racingdriver formulaoneteam formulaoneteam
dbpedia_2683,person person person person person award person award film film
dbpedia_14255,bridge bridge bridge building building bridge bridge building bridge bridge
dbpedia_18400,officeholder person band film album film album artist film musicalartist
dbpedia_21975,software informationappliance device person informationappliance company software software company company
dbpedia_1090,speedwayrider award book golfplayer tennisplayer golftournament award chessplayer footballleagueseason footballleagueseason
dbpedia_6225,election election election election election election election election election election
dbpedia_21779,settlement officeholder politicalparty town militaryunit legislature officeholder politicalparty politicalparty country
dbpedia_9364,medician person person scientist person person book scientist engineer company
dbpedia_9540,disease disease disease disease disease disease disease disease disease disease
dbpedia_6882,royalty royalty royalty royalty royalty royalty royalty royalty noble noble
dbpedia_22174,book band mollusca actor televisionshow insect film place book book
dbpedia_21404,televisionshow film radioprogram televisionshow televisionshow photographer televisionshow televisionshow televisionshow televisionshow
dbpedia_1596,drug disease drug disease disease disease disease disease drug drug
dbpedia_22972,building building building school city architect philosopher settlement building city
dbpedia_16818,award award album award book scientist artist amusementparkattraction book person
dbpedia_18470,comicscreator comic comicscreator writer comicscreator comicscreator comicscharacter comicscharacter comicscreator comic
dbpedia_2423,criminal ethnicgroup militaryconflict person ethnicgroup ethnicgroup televisionshow earthquake settlement militaryconflict
dbpedia_9287,royalty royalty noble royalty noble royalty royalty royalty royalty royalty
dbpedia_236,hollywoodcartoon person book band televisionshow band song person single food
dbpedia_6338,single radioprogram song book single song person book album single
dbpedia_21441,software software software website company software software software software website
dbpedia_14836,plant plant givenname village givenname musicgenre saint town insect plant
dbpedia_6858,single game book videogame album televisionshow song weapon single book
dbpedia_17282,televisionshow televisionshow musicalartist band single castle wrestlingevent single person videogame
